feature,importance
hour,3.7096906
weekend_flag,1.9681456
solar_generation,1.6531203
relative_time_idx,1.5292041
month,1.3273942
weekday,1.203284
is_daylight,1.0621351
holiday_flag,0.8626541
wind_generation,0.69414693
wind_offshore_generation,0.4014321
temperature,0.35846296
wind_onshore_capacity,0.2988749
wind_onshore_generation,0.24189022
wind_offshore_capacity,0.23546514
wind_capacity,0.21040091
solar_capacity,0.13379773
year,0.109901026
