feature,importance
actual_load,2.7810073
weekend_flag,2.0290227
is_daylight,1.7364666
hour,1.4811954
month,1.4337785
weekday,0.9956002
solar_generation,0.95570976
wind_onshore_capacity,0.7231145
temperature,0.6898656
holiday_flag,0.64171135
relative_time_idx,0.6364888
wind_generation,0.6284061
wind_onshore_generation,0.3686865
wind_offshore_capacity,0.23518333
wind_capacity,0.2219187
solar_capacity,0.1688019
wind_offshore_generation,0.14986119
year,0.1231814
