feature,importance
month,3.3476567
hour,1.8239458
wind_onshore_generation,1.7674965
is_daylight,1.567644
weekday,0.95140934
relative_time_idx,0.89347136
actual_load,0.8628585
holiday_flag,0.8221526
weekend_flag,0.8098509
temperature,0.7069422
wind_offshore_generation,0.5391681
wind_onshore_capacity,0.49825382
wind_generation,0.44607362
solar_generation,0.25699705
wind_offshore_capacity,0.2311608
year,0.21312883
wind_capacity,0.13584854
solar_capacity,0.12594105
