feature,importance
month,0.58000463
hour,0.4389782
is_daylight,0.3778856
solar_capacity,0.28146568
wind_onshore_generation,0.27775088
solar_generation,0.2679264
weekend_flag,0.2620838
temperature,0.25398546
weekday,0.24125488
holiday_flag,0.23001945
actual_load,0.18718652
relative_time_idx,0.1703511
wind_offshore_generation,0.12949704
wind_generation,0.07815431
wind_onshore_capacity,0.06533295
wind_offshore_capacity,0.06353439
year,0.05438494
wind_capacity,0.040203813
