feature,importance
hour,0.6673047
solar_generation,0.44557363
month,0.4035369
weekend_flag,0.3763691
weekday,0.36015913
relative_time_idx,0.28335816
wind_generation,0.2779408
wind_onshore_capacity,0.23557837
is_daylight,0.2090642
wind_offshore_generation,0.17778556
wind_onshore_generation,0.1442918
solar_capacity,0.12935254
temperature,0.121277966
holiday_flag,0.067369975
wind_capacity,0.046105135
year,0.033555906
wind_offshore_capacity,0.021376131
